coluna,etiqueta,cor_atual,cor_alvo,remover_se_apply
advogados,Kaleo Dornaika Guaraty,purple,purple,0
advogados,NILDO MOREIRA NUNES,default,default,0
advogados,ANTONIO SERGIO MEIRA BARRETO,gray,gray,0
advogados,HUGO RIBEIRO AURELIANO BRAGA,orange,orange,0
advogados,RIVAILDO PEREIRA GUEDES FILHO,blue,blue,0
advogados,SABRINA BORGES LUZ,red,red,0
advogados,SAUL BARROS BRITO,gray,gray,0
advogados,ROBERIO SILVA CAPISTRANO,green,green,0
advogados,SAMARA KELLY MARQUES SANTOS DE ALMEIDA,default,default,0
advogados,PEDRO BARRETO PIRES BEZERRA,default,default,0
advogados,ADRIANO BARBOSA DOS SANTOS,default,default,0
advogados,NICOLAU ACHCAR SANTOS JUNIOR,blue,blue,0
advogados,MAURICIO FABIANE DE ALMEIDA BENEDITO,purple,purple,0
advogados,TIAGO DO AMARAL LAURENCIO MUNHOLI,pink,pink,0
advogados,MIRIAN TAILA DE PAULA ALMEIDA,blue,blue,0
advogados,DANIANE DE OLIVEIRA SABINO,blue,blue,0
advogados,CYNTHIA AMARO MAMEDE MADUREIRA,yellow,yellow,0
advogados,ANTONIO CLARET DE ASSIS JUNIOR,purple,purple,0
advogados,ALAN AUGUSTO SANTOS,blue,blue,0
advogados,MAURO JORGE DE PAULA BOMFIM,orange,orange,0
advogados,GUILHERME GOSLING DE OLIVEIRA LOTT LAGE,yellow,yellow,0
advogados,LEONARDO RIBEIRO PASSOS DOURADO,orange,orange,0
advogados,FRANKLIN RODRIGUES DA COSTA,yellow,yellow,0
advogados,RAIMUNDO CANDIDO NETO,gray,gray,0
advogados,REINALDO JOSE PENIDO DE JESUS,yellow,yellow,0
advogados,SILVA COSTA,pink,pink,0
advogados,EDUARDO BRANDAO,default,default,0
advogados,NIKOLAS GABRIEL PINTO DE OLIVEIRA,purple,purple,0
advogados,GIULIA DE SOUZA OLIVEIRA,brown,brown,0
advogados,LUIZ CLAUDIO DE SOUZA ALMEIDA - PA24092 AGRAVO EM RECURSO ESPECIAL. AÇÃO PENAL. ADMISSIBILIDADE,purple,purple,0
advogados,Bruno Aurélio Rodrigues da Silva Pena,gray,gray,0
advogados,Saulo Goncalves Santos,yellow,yellow,0
advogados,Laryssa Maria Ximenes Carvalho,gray,gray,0
advogados,ENEAS GARCIA FERNANDES NETO,pink,pink,0
advogados,Luiz Gustavo Pereira da Cunha,blue,blue,0
advogados,Mattson Resende Dourado,yellow,yellow,0
advogados,Alexandre Pereira de Sousa,default,default,0
advogados,Anna Maria Nabuco Peltier Cajueiro,blue,blue,0
advogados,Fabrício Juliano Mendes Medeiros,pink,pink,0
advogados,Luís Felipe Mendes Maia,green,green,0
advogados,LUCIANA CHRISTINA GUIMARÃES LÓSSIO,purple,purple,0
advogados,DANIELA MAROCCOLO ARCURI,purple,purple,0
advogados,BRUNA LOSSIO PEREIRA,red,red,0
advogados,DIEGO RANGEL ARAUJO,green,green,0
advogados,HUMBERTO BORGES CHAVES FILHO,purple,purple,0
advogados,PEDRO IVO MACHADO BANNWART RIBEIRO,orange,orange,0
advogados,DRICIA VITORIA CORADO SOUZA LIMA,pink,pink,0
advogados,ANA LETICIA CARVALHO DOS SANTOS,gray,gray,0
advogados,RENATA ANTONY DE SOUZA LIMA NINA,blue,blue,0
advogados,MARIA CLAUDIA BUCCHIANERI,pink,pink,0
advogados,MARCELO CERTAIN TOLEDO,default,default,0
advogados,PRISCILA MORI FERREIRA,blue,blue,0
advogados,FLAVIO HENRIQUE COSTA PEREIRA,yellow,yellow,0
advogados,Gustavo Luiz Simões,blue,blue,0
advogados,Marcelo Meneses Aguiar,blue,blue,0
advogados,DIOGO JOSENNIS DO NASCIMENTO VIEIRA,yellow,yellow,0
advogados,LUIZ RICARDO MEIRELES MACEDO,green,green,0
advogados,Daiana Diello Sandrini,purple,purple,0
advogados,Vera Lúcia Cabral,green,green,0
advogados,Rosângela Maria Correia,blue,blue,0
advogados,Ademar Francisco Martins Neto,pink,pink,0
