before,after,rows
"ADCT art 19 CF/88, CF/88, Lei 8.112 1990 art 100, Lei 8.112 1990 art 103 V, Lei 8.162 1991 art 7 I, Lei 8.162 1991 art 7 III, Lei 8.213 1990 art 243","ADCT art. 19 CF/88, Lei nº 8.112/1990 art. 100, Lei nº 8.112/1990 art. 103 inc. V, Lei nº 8.162/1991 art. 7º inc. I, Lei nº 8.162/1991 art. 7º inc. III, Lei nº 8.213/1990 art. 243",1
"ADCT art 32, CF/88 art 236 §3º, Lei nº 8.935/1994","ADCT art. 32, CF/88 art. 236 § 3º, Lei nº 8.935/1994",1
ADCT art 53 II,ADCT art. 53 inc. II,1
"ADCT art 53 II, Lei nº 5.315/1967","ADCT art. 53 inc. II, Lei nº 5.315/1967",1
"ADCT art 54 A, EC 78 2014","ADCT art. 54-A, EC 78/2014",1
"ADCT art 54 § 2º, CPC/2015 art 966 inciso V, CPC/2015 art 966 inciso VIII","ADCT art. 54 § 2º, CPC/2015 art. 966 inc. V, CPC/2015 art. 966 inc. VIII",1
"ADCT art 58, CF/88 art 201 §4, CF/88 art 7 IV, Lei nº 8.213/1991","ADCT art. 58, CF/88 art. 201 § 4º, CF/88 art. 7º inc. IV, Lei nº 8.213/1991",1
"ADCT art 58, CF/88, Lei nº 8.212/1991, Lei nº 8.213/1991","ADCT art. 58, Lei nº 8.212/1991, Lei nº 8.213/1991",1
"ADCT art 60 redação da EC 14/1996, CF/88, Lei nº 9.424/1996 art 6º §1º","ADCT art. 60 redação da EC 14/1996, Lei nº 9.424/1996 art. 6º § 1º",1
"ADCT art 67, CF/88 art 231, CF/88 art 5º inciso LXXVIII","ADCT art. 67, CF/88 art. 231, CF/88 art. 5º inc. LXXVIII",1
"ADCT art 67, CF/88 art 5 LXXVIII","ADCT art. 67, CF/88 art. 5º inc. LXXVIII",1
"ADCT art 68, CF/88 art 170, CF/88 art 215, CF/88 art 5, CPC/2015 art 355, CPC/2015 art 356, Lei nº 4.132/1962","ADCT art. 68, CF/88 art. 170, CF/88 art. 215, CF/88 art. 5º, CPC/2015 art. 355, CPC/2015 art. 356, Lei nº 4.132/1962",1
"ADCT art 68, CF/88 art 216 I, CF/88 art 216 II, CF/88 art 216 §1, CF/88 art 216 §5, Convenção 169 OIT art 14, Decreto 4.887/2003","ADCT art. 68, CF/88 art. 216 inc. I, CF/88 art. 216 inc. II, CF/88 art. 216 § 1º, CF/88 art. 216 § 5º, Convenção 169 OIT art. 14, Decreto nº 4.887/2003",1
"ADCT art 68, CF/88 art 216, CF/88 art 5","ADCT art. 68, CF/88 art. 216, CF/88 art. 5º",1
"ADCT art 68, CF/88 art 2º","ADCT art. 68, CF/88 art. 2º",1
"ADCT art 68, CF/88 art 5º inciso LXXVIII, Decreto 4.887/2003, Instrução Normativa Incra 57/2009","ADCT art. 68, CF/88 art. 5º inc. LXXVIII, Decreto nº 4.887/2003, Instrução Normativa Incra 57/2009",1
"ADCT art 8, ADCT art 8 § 5º, CF/88 Art 37, CF/88 art 5, Lei nº 10.559/2002","ADCT art. 8º, ADCT art. 8º § 5º, CF/88 art. 37, CF/88 art. 5º, Lei nº 10.559/2002",1
"ADCT art 8, CF/88, Lei nº 9.784/1999 art 54","ADCT art. 8º, Lei nº 9.784/1999 art. 54",1
"ADCT art 8, DL nº 20.910/1932, Decreto 20.910 1932 art 1º, Lei nº 10.559/2002","ADCT art. 8º, DL nº 20.910/1932, Decreto nº 20.910/1932 art. 1º, Lei nº 10.559/2002",1
"ADCT art 87, CF/88, CPC/2015, Lei nº 4.320/1964, Lei nº 8.213/1991","ADCT art. 87, Lei nº 4.320/1964, Lei nº 8.213/1991",1
"ADCT art 8º, Lei nº 10.559/2002 Art 2º, Portaria 104 GM3 1964, Portaria 1104 GM3 1964, Portaria 3076 2019","ADCT art. 8º, Lei nº 10.559/2002 art. 2º, Portaria 104 GM3 1964, Portaria 1104 GM3 1964, Portaria 3076 2019",1
"ADCT art 8º, Lei nº 10.559/2002 art 6º § 4º","ADCT art. 8º, Lei nº 10.559/2002 art. 6º § 4º",1
"ADCT art. 53, Lei 3.765/1960 art. 26, Lei 4.242/1963 art. 30, Lei 5.315/1967, Lei 8.059/1990","ADCT art. 53, Lei nº 3.765/1960 art. 26, Lei nº 4.242/1963 art. 30, Lei nº 5.315/1967, Lei nº 8.059/1990",1
"ADCT art. 60, CF/88 art. 212, Lei nº 11.494/2007 arts. 21, Lei nº 11.494/2007 arts. 22, Lei nº 11.494/2007 arts. 23","ADCT art. 60, CF/88 art. 212, Lei nº 11.494/2007 art. 21, Lei nº 11.494/2007 art. 22, Lei nº 11.494/2007 art. 23",1
"ADCT art. 8º, CF/88, Lei nº 10.559/2002, Lei nº 10.559/2002 art. 10, Lei nº 10.559/2002 art. 12","ADCT art. 8º, Lei nº 10.559/2002, Lei nº 10.559/2002 art. 10, Lei nº 10.559/2002 art. 12",1
"ADCT artigo 26, CF/88 artigo 2","ADCT art. 26, CF/88 art. 2º",1
"ADCT artigo 40, CF/88, Lei nº 10.637/2002 art 3º § 2º II, Lei nº 10.833/2003 art 3º § 2º II","ADCT art. 40, Lei nº 10.637/2002 art. 3º § 2º inc. II, Lei nº 10.833/2003 art. 3º § 2º inc. II",1
"ADCT, CF/88, CPC/2015, Lei nº 5.315/1967",Lei nº 5.315/1967,1
"ADI 10/2006 Receita Federal, Lei nº 9.430/1996 art 64","ADI 10/2006 Receita Federal, Lei nº 9.430/1996 art. 64",1
"ADI 1141 GO, CF/88 artigo 37, Súmula Vinculante 43","ADI 1141 GO, CF/88 art. 37, Súmula Vinculante 43",1
"ADI 1668-MC/DF liminar suspensão art 19 XV, LGT art 175 parágrafo único, Lei 10.871/2004 art 3º parágrafo único","ADI 1668-MC/DF liminar suspensão art. 19 inc. XV, LGT art. 175 § único, Lei nº 10.871/2004 art. 3º § único",1
"ADI 5501, CF 1988 art 196, Lei 13.269 2016, Lei nº 6.360 1976 art 12","ADI 5501, CF/88 art. 196, Lei nº 13.269/2016, Lei nº 6.360/1976 art. 12",1
"ADI 7236, CF/88 Art 5º LIV, CF/88 Art 5º LV, CPC/2015 art 313 V a, Lei nº 14.230/2021, Lei nº 8.429/1992 art 21 §§ 3º e 4º","ADI 7236, CF/88 art. 5º LIV, CF/88 art. 5º LV, CPC/2015 art. 313 inc. V al. a, Lei nº 14.230/2021, Lei nº 8.429/1992 art. 21 § § 3º e 4º",1
"ADPF 496, CF/88, CP art 331","ADPF 496, CP art. 331",1
"AResolução 11 2005 do CSJT, CF/88, Lei nº 8.112 1990","AResolução 11 2005 do CSJT, Lei nº 8.112/1990",1
"ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS art 8 caput, ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS art 8 § 1º, ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS art 8 § 5º, CF/88 art 37 XI, CF/88 art 37 § 11, Lei nº 10.559/2002 art 1º inciso II","ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS art. 8º caput, ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS art. 8º § 1º, ATO DAS DISPOSIÇÕES CONSTITUCIONAIS TRANSITÓRIAS art. 8º § 5º, CF/88 art. 37 inc. XI, CF/88 art. 37 § 11, Lei nº 10.559/2002 art. 1º inc. II",1
"Acordo de Complementação Econômica 39 ALADI, CF/88, IN SRF 149 2002, Resolução 252 Comitê de Representantes da ALADI","Acordo de Complementação Econômica 39 ALADI, IN SRF 149 2002, Resolução 252 Comitê de Representantes da ALADI",1
"Acordo de Cooperação em Matéria Civil entre Brasil e França, CF/88 art. 12 I c, Lei nº 6.015/1973 art. 32","Acordo de Cooperação em Matéria Civil entre Brasil e França, CF/88 art. 12 inc. I al. c, Lei nº 6.015/1973 art. 32",1
"Anvisa Resolução da Diretoria Colegiada RDC, CF/88 Artigo 196, CPC/2015 artigo 300, Lei nº 8.080/1990 Artigo 2, Lei nº 9.656/1998 artigo 12","Anvisa Resolução da Diretoria Colegiada RDC, CF/88 art. 196, CPC/2015 art. 300, Lei nº 8.080/1990 art. 2º, Lei nº 9.656/1998 art. 12",1
"Art 10 Resolução 03 2024 Presi Coger, Resolução 03 2024 Presi Coger","art. 10 Resolução 03 2024 Presi Coger, Resolução 03 2024 Presi Coger",1
"Art 102 parágrafo único Lei 13.445 2017, Art 105 § 1º Lei 13.445 2017, Art 287 Decreto 9199 2017, Art 288 Decreto 9199 2017, Decreto 9199 2017, Lei 11671 2008, Lei 13.445 2017","art. 102 § único Lei nº 13.445/2017, art. 105 § 1º Lei nº 13.445/2017, art. 287 Decreto 9199 2017, art. 288 Decreto 9199 2017, Decreto nº 9.199/2017, Lei nº 11.671/2008, Lei nº 13.445/2017",1
"Art 11 § 1º Lei nº 10.855 2004, Lei nº 10.855 2004, Lei nº 13.324 2016","art. 11 § 1º Lei nº 10.855/2004, Lei nº 10.855/2004, Lei nº 13.324/2016",1
"Art 11 §1º incisos V a VIII da Emenda Constitucional 103 2019, CF/88, Emenda Constitucional 103 2019","art. 11 § 1º inc. V al. a VIII da Emenda Constitucional. 103 2019, EC 103/2019",1
"Art 120 §5º Lei nº 11.784/2008, Art 13 §2º Lei nº 11.344/2006, Arts 13 e 14 Lei nº 11.344/2006, Decreto 7.806/2012, Lei nº 11.344/2006, Lei nº 11.784/2008, Parágrafo único art 11 Decreto 7.806/2012","art. 120 § 5º Lei nº 11.784/2008, art. 13 § 2º Lei nº 11.344/2006, art. 13-E 14 Lei nº 11.344/2006, Decreto nº 7.806/2012, Lei nº 11.344/2006, Lei nº 11.784/2008",1
"Art 144 Resolução CGSN 142 2018, Art 21 Lei Complementar 123 2006, Art 46 Resolução CGSN 142 2018, Art 55 Resolução CGSN 142 2018, Lei Complementar 123 2006, Resolução CGSN 140 2018, Resolução CGSN 142 2018","art. 144 Resolução CGSN 142 2018, art. 21 inc. LC nº 123/2006, art. 46 Resolução CGSN 142 2018, art. 55 Resolução CGSN 142 2018, LC nº 123/2006, Resolução CGSN 140 2018, Resolução CGSN 142 2018",1
"Art 161 do CTN, Decreto nº 6.759/2009, Lei nº 9.430/1996 Art 61 § 3º","art. 161 do CTN, Decreto nº 6.759/2009, Lei nº 9.430/1996 art. 61 § 3º",1
"Art 17 Lei 9620 1998, Decreto 3762 2001, Lei 9620 1998, MP 222943 2001","art. 17 Lei nº 9.620/1998, Decreto nº 3.762/2001, Lei nº 9.620/1998, MP nº 222943/2001",1
"Art 23 da Emenda Constitucional 103 2019, CF/88, EC 103 2019","art. 23 da Emenda Constitucional. 103 2019, EC 103/2019",1
"Art 25 II Lei nº 9.656 1998, Art 78 Resolução Normativa 124 2006, Lei nº 9.656 1998, Resolução Normativa 124 2006, Resolução Normativa 259 2011","art. 25 inc. II Lei nº 9.656/1998, art. 78 Resolução Normativa 124 2006, Lei nº 9.656/1998, Resolução Normativa 124 2006, Resolução Normativa 259 2011",1
"Art 2º Portaria 54/1996, CF/88, Lei nº 6.630/1976, Portaria 54 1996, Portaria 54/1996","art. 2º Portaria 54/1996, Lei nº 6.630/1976, Portaria 54 1996, Portaria 54/1996",1
"Art 2º § 5º Lei nº 10.522/2002, Art 37 § 6º CF/88, Art 940 do Código Civil","art. 2º § 5º Lei nº 10.522/2002, art. 37 § 6º CF/88, art. 940 do Código Civil",1
"Art 350 Código Eleitoral, Art 81 CPP, Arts 78 IV CPP","art. 350 Código Eleitoral, art. 81 CPP, art. 78 inc. IV CPP",1
"Art 3º da EC 47 2005, CF/88, EC 41 2003","art. 3º da EC 47/2005, EC 41/2003",1
"Art 3º da EC 47 2005, EC 41 2003, EC 47 2005, art 7º da EC 41 2003","art. 3º da EC 47/2005, EC 41/2003, EC 47/2005, art. 7º da EC 41/2003",1
"Art 65 Lei 8112 1990, LC 35 1979, Resolução 214 1995 TRT 8ª Região","art. 65 Lei nº 8.112/1990, LC 35 1979, Resolução 214 1995 TRT 8ª Região",1
"Art 6º da Lei 8.427/1992, Artigo 6º da Lindb, Lei 14.230/2021, Lei 8.427/1992, Lei nº 8.429/1992","art. 6º da Lei 8.427/1992, art. 6º da Lindb, Lei nº 14.230/2021, Lei nº 8.427/1992, Lei nº 8.429/1992",1
"Art 74 Lei 8.213 1991, Art 77 § 2º V b Lei 8.213 1991, Lei 8.213 1991, Lei nº 13.135 2015, MP 664 2014","art. 74 Lei nº 8.213/1991, art. 77 § 2º inc. V al. b Lei nº 8.213/1991, Lei nº 8.213/1991, Lei nº 13.135/2015, MP nº 664/2014",1
"Art 77 Lei nº 5.692 1971, EC 19 1998, EC 38 2002, EC 60 2009, EC 79 2014, EC 98 2017, art 37 II CF/88","art. 77 Lei nº 5.692/1971, EC 19/1998, EC 38/2002, EC 60/2009, EC 79/2014, EC 98/2017, art. 37 inc. II CF/88",1
"Art 7º Lei nº 11.732 2008, Lei nº 11.732 2008, Lei nº 8.256 1991","art. 7º Lei nº 11.732/2008, Lei nº 11.732/2008, Lei nº 8.256/1991",1
"Art. 31 Lei nº 9.307/1996, Lei nº 9.307/1996","art. 31 Lei nº 9.307/1996, Lei nº 9.307/1996",1
"Artigo 142 Lei nº 8.112 1990, CF/88, Lei nº 8.112 1990","art. 142 Lei nº 8.112/1990, Lei nº 8.112/1990",1
"Artigo 3.1 da Convenção Internacional sobre os Direitos da Criança, Convenção Internacional dos Direitos da Criança ONU 1989, Convenção de Haia sobre os Aspectos Civis do Sequestro Internacional de Crianças, Decreto 3.413/2000, Decreto 99.710/1990, Lei nº 12.318/2010","art. 3.1 da Convenção Internacional. sobre os Direitos da Criança, Convenção Internacional. dos Direitos da Criança ONU 1989, Convenção de Haia sobre os Aspectos Civis do Sequestro Internacional. de Crianças, Decreto nº 3.413/2000, Decreto nº 99.710/1990, Lei nº 12.318/2010",1
"Artigo 6º Lei nº 6.009/1973, Lei nº 6.009/1973","art. 6º Lei nº 6.009/1973, Lei nº 6.009/1973",1
"Arts 1 a 3 Lei 13340 2016, DL 1.025 1969, Lei 11775 2008 Art 8 §10, Lei 13340 2016 Art 12","art. 1º-A 3 Lei nº 13.340/2016, DL nº 1.025/1969, Lei nº 11.775/2008 art. 8º § 10, Lei nº 13.340/2016 art. 12",1
"Ato CSJT GP SE ASGP 193/2008, CF/88, CPC/2015 art 152, Lei nº 12.426/2011, Resolução CJST 63/2010","Ato CSJT GP SE ASGP 193/2008, CPC/2015 art. 152, Lei nº 12.426/2011, Resolução CJST 63/2010",1
"Ato Conjunto PGR CASMPU 1 2014, CF/88 Art 5º LIV, CF/88 Art 5º LV, CPC/2015 Art 300, EC 103 2019, Lei nº 13.024/2014, Portaria PGR MPU 21 2029","Ato Conjunto PGR CASMPU 1 2014, CF/88 art. 5º LIV, CF/88 art. 5º LV, CPC/2015 art. 300, EC 103/2019, Lei nº 13.024/2014, Portaria PGR MPU 21 2029",1
"Ato Declaratório Coana Cotec 28 2010 item 6, Decreto 6759 2009 art 735 C, Lei nº 12.350 2010 art 37 I","Ato Declaratório Coana Cotec 28 2010 item 6, Decreto nº 6.759/2009 art. 735 inc. C, Lei nº 12.350/2010 art. 37 inc. I",1
"Ato Institucional 05 1968 art 6 § 1, CF/88, Decreto 24/01/1978","Ato Institucional. 05 1968 art. 6º § 1º, Decreto nº 24/2001 /1978",1
"Ato STJ 275/2005, CF/88, Lei nº 8.112/1990, Portaria n. 300 2007, Portaria n. 572 2008","Ato STJ 275/2005, Lei nº 8.112/1990, Portaria n. 300 2007, Portaria n. 572 2008",1
"Bono Especial Geral 1082 2022, Regulamento Disciplinar da Marinha art 7º item 21, Regulamento Disciplinar da Marinha art 7º item 23, Regulamento Disciplinar da Marinha art 7º item 33, Regulamento Disciplinar da Marinha art 7º item 34, Regulamento Disciplinar da Marinha art 7º item 47, Regulamento Disciplinar da Marinha art 7º item 76","Bono Especial. Geral. 1082 2022, Regulamento Disciplinar da Marinha art. 7º item 21, Regulamento Disciplinar da Marinha art. 7º item 23, Regulamento Disciplinar da Marinha art. 7º item 33, Regulamento Disciplinar da Marinha art. 7º item 34, Regulamento Disciplinar da Marinha art. 7º item 47, Regulamento Disciplinar da Marinha art. 7º item 76",1
"CC 1.723 § 1º, CC 1.724, Regulamento Geral do Programa de Saúde e Assistência Social art 6 II d, Regulamento Geral do Programa de Saúde e Assistência Social art 7 I","CC 1.723 § 1º, Regulamento Geral. do Programa de Saúde e Assistência Social. art. 6º inc. II al. d, Regulamento Geral. do Programa de Saúde e Assistência Social. art. 7º inc. I",1
"CC 188 I 2002, CF/88",,1
"CC 1916 art 1058, CDC art 51","CC 1916 art. 1058, CDC art. 51",1
"CC 1916, CF/88, Lei 14.230/2021, Lei 8.429/1992 Art 16 §13","Lei nº 14.230/2021, Lei nº 8.429/1992 art. 16 § 13",1
CC 2002,,1
"CC 2002 art 1210, CF/88, LINDB arts 5º 20 21","CC 2002 art. 1210, LINDB art. 5º 20 21",1
CC 2002 art 1242,CC 2002 art. 1242,1
CC 2002 art 206 § 5º I,CC 2002 art. 206 § 5º inc. I,1
"CC 2002 art 627, CC 2002 art 628, CC 2002 art 646, CC 2002 art 647, CC 2002 art 651, CF/88 art 37 §6.º, CPP","CC 2002 art. 627, CC 2002 art. 628, CC 2002 art. 646, CC 2002 art. 647, CC 2002 art. 651, CF/88 art. 37 § 6º",1
"CC 2002 art 884, CF/88, Lei nº 8.112 1990 art 38, Lei nº 8.112 1990 art 4º","CC 2002 art. 884, Lei nº 8.112/1990 art. 38, Lei nº 8.112/1990 art. 4º",1
CC 830,,1
"CC 974 § 1º, CC 974 § 3º, Lei nº 8.934/1994 art 35 inciso I","CC 974 § 1º, CC 974 § 3º, Lei nº 8.934/1994 art. 35 inc. I",1
"CC Art 169, CF/88",CC art. 169,1
"CC art 1.368 B, Lei nº 9.514/1997 art 27 § 8º","CC art. 1.368 B, Lei nº 9.514/1997 art. 27 § 8º",1
"CC art 1.793, CF/88, DL nº 85.845/1981, Lei nº 6.858/1980","CC art. 1.793, DL nº 85.845/1981, Lei nº 6.858/1980",1
CC art 1.830,CC art. 1.830,1
"CC art 100, Lei nº 8.629/1993","CC art. 100, Lei nº 8.629/1993",1
"CC art 108, CF/88",CC art. 108,1
"CC art 108, Lei 6.015 1973 art 37","CC art. 108, Lei nº 6.015/1973 art. 37",1
CC art 1208,CC art. 1208,1
"CC art 1228 caput, CP art 91 II","CC art. 1228 caput, CP art. 91 inc. II",1
CC art 1238 par o unico,CC art. 1238 par o unico,1
"CC art 1245 caput, CC art 1245 § 1º, CC art 1649 I","CC art. 1245 caput, CC art. 1245 § 1º, CC art. 1649 inc. I",1
CC art 1336 par 1,CC art. 1336 par 1,1
"CC art 1511, CC art 421, CC art 422, CF/88 art 1º III, CF/88 art 226 §5º, CF/88 art 6º, Lei nº 9.656/1998, Resolução Normativa 195/2009 art 3º §1º, Súmula Normativa 13 ANS","CC art. 1511, CC art. 421, CC art. 422, CF/88 art. 1º III, CF/88 art. 226 § 5º, CF/88 art. 6º, Lei nº 9.656/1998, Resolução Normativa 195/2009 art. 3º § 1º, Súmula Normativa 13 ANS",1
"CC art 1566, CC art 1723","CC art. 1566, CC art. 1723",1
"CC art 1668, CPC/2015 art 655 B","CC art. 1668, CPC/2015 art. 655-B",1
CC art 167,CC art. 167,1
"CC art 167, CTN art 185","CC art. 167, CTN art. 185",1
"CC art 170, CC art 182, CC art 884","CC art. 170, CC art. 182, CC art. 884",1
"CC art 1726, CF/88 Art 226 § 3º, CP art 171 § 3º, Lei nº 3.373/1958","CC art. 1726, CF/88 art. 226 § 3º, CP art. 171 § 3º, Lei nº 3.373/1958",1
"CC art 1754, CF 88 art 203 V, Lei 8.213 1991 art 110, Lei 8.742 1993","CC art. 1754, CF/88 art. 203 inc. V, Lei nº 8.213/1991 art. 110, Lei nº 8.742/1993",1
"CC art 186, CC art 187, CC art 927, CF/88 art 37 § 6º","CC art. 186, CC art. 187, CC art. 927, CF/88 art. 37 § 6º",1
"CC art 186, CC art 927, Lei nº 8.213/1991 art 120, Lei nº 8.213/1991 art 121","CC art. 186, CC art. 927, Lei nº 8.213/1991 art. 120, Lei nº 8.213/1991 art. 121",1
CC art 187,CC art. 187,1
CC art 188,CC art. 188,1
"CC art 188 II, CF/88",CC art. 188 inc. II,1
"CC art 189, CC art 2.028, CC arts 1.238","CC art. 189, CC art. 2.028, CC art. 1.238",1
"CC art 198 I, Lei 8.213 103 parágrafo único, Lei 8.213 79","CC art. 198 inc. I, Lei nº 8.213 103 § único, Lei nº 8.213 79",1
"CC art 199 I, CF/88, Lei nº 12.514/2011 Art 8º","CC art. 199 inc. I, Lei nº 12.514/2011 art. 8º",1
CC art 206 §5º II,CC art. 206 § 5º inc. II,1
"CC art 275, CC art 283, CPC/2015 art 130 III, CPC/2015 art 132","CC art. 275, CC art. 283, CPC/2015 art. 130 inc. III, CPC/2015 art. 132",1
"CC art 275, CF/88 art 109 inciso I","CC art. 275, CF/88 art. 109 inc. I",1
"CC art 304, CC art 884","CC art. 304, CC art. 884",1
"CC art 356, Lei nº 13.259/2016 art 4º","CC art. 356, Lei nº 13.259/2016 art. 4º",1
"CC art 41, CF/88",CC art. 41,1
"CC art 422, CDC art 4 incs III e VI","CC art. 422, CDC art. 4º incs III e VI",1
"CC art 483, CF/88",CC art. 483,1
"CC art 50, CF/88",CC art. 50,1
CC art 629,CC art. 629,1
"CC art 654 I, CPC 73 art 42 § 1º, CPC 73 art 567 II, CPC/2015 art 411 I","CC art. 654 inc. I, CPC 73 art. 42 § 1º, CPC 73 art. 567 inc. II, CPC/2015 art. 411 inc. I",1
"CC art 798, CF/88",CC art. 798,1
CC art 840,CC art. 840,1
"CC art 884, CF/88",CC art. 884,1
"CC art 884, CF/88 IX, CF/88 art 176 § 1º, CF/88 art 20, Lei nº 5.764/1971 art 44 § 2º","CC art. 884, CF/88 art. 176 § 1º, CF/88 art. 20, Lei nº 5.764/1971 art. 44 § 2º",1
"CC art 927, CDC art 14","CC art. 927, CDC art. 14",1
CC art 935,CC art. 935,1
"CC art 935, Lei nº 8.112/1990 art 125, Lei nº 8.112/1990 art 126","CC art. 935, Lei nº 8.112/1990 art. 125, Lei nº 8.112/1990 art. 126",1
"CC art 945, Lei nº 8.213/1991 art 120","CC art. 945, Lei nº 8.213/1991 art. 120",1
"CC art 949, CF/88, CPC/2015",CC art. 949,1
"CC art. 186, CF/88 art. 61 § 1º II a, CF/88 arts. 48 X, Lei nº 8.112/1990","CC art. 186, CF/88 art. 61 § 1º inc. II al. a, CF/88 art. 48 inc. X, Lei nº 8.112/1990",1
CC arts 138 e seguintes,CC art. 138-E seguintes,1
"CC arts 841 e 844, CF/88, Lei nº 8.112/1990 Art 217","CC art. 841-E 844, Lei nº 8.112/1990 art. 217",1
"CC arts 884 a 886, CF/88",CC art. 884-A 886,1
"CC/2002 Art 932 inciso III, CC/2002 Art 933 caput, Lei 8.666/1993 Art 70","CC/2002 art. 932 inc. III, CC/2002 art. 933 caput, Lei nº 8.666/1993 art. 70",1
"CC/2002 art 1240, CF/88 art 183 § 3.º, CF/88 art 191 parágrafo único, Súmula 340 STF","CC/2002 art. 1240, CF/88 art. 183 § 3º, CF/88 art. 191 § único, Súmula 340 STF",1
"CC/2002 art 396, CPC/2015 art 313 inciso I","CC/2002 art. 396, CPC/2015 art. 313 inc. I",1
"CCB art 935, CP art 312, CPC/2015 art 401 § 1º, CPP art 616, Lei nº 8.666/1993 Art 89","CCB art. 935, CP art. 312, CPC/2015 art. 401 § 1º, CPP art. 616, Lei nº 8.666/1993 art. 89",1
"CDC Art 28 caput, CDC Art 28 § 5º","CDC art. 28 caput, CDC art. 28 § 5º",1
"CDC Artigo 2, CDC Artigo 3, CDC Artigo 51, CF/88 artigo 5, Lei nº 10.931/2004, Lei nº 9.069/1995","CDC art. 2º, CDC art. 3º, CDC art. 51, CF/88 art. 5º, Lei nº 10.931/2004, Lei nº 9.069/1995",1
CDC Código de Defesa do Consumidor,,1
"CDC Código de Defesa do Consumidor, CF/88 Constituição Federal",,1
"CDC Lei nº 8.078/1990 artigo 14, CF/88 artigo 5, CPC/2015 Artigo 373","CDC Lei nº 8.078/1990 art. 14, CF/88 art. 5º, CPC/2015 art. 373",1
"CDC art 101 inciso I, CDC art 98 § 2.º inciso II, CPC/2015 art 516 inciso II","CDC art. 101 inc. I, CDC art. 98 § 2º inc. II, CPC/2015 art. 516 inc. II",1
CDC art 103 § 3º,CDC art. 103 § 3º,1
"CDC art 103, CPC/2015 art 337 § 2º, CPC/2015 art 486 § 1º, CPC/2015 art 487 I, CPC/2015 art 966 VII","CDC art. 103, CPC/2015 art. 337 § 2º, CPC/2015 art. 486 § 1º, CPC/2015 art. 487 inc. I, CPC/2015 art. 966 inc. VII",1
"CDC art 104 A, CDC art 104 B, CDC art 54 A § 1º, CF/88 art 109 I, Lei nº 14.181 2021","CDC art. 104-A, CDC art. 104-B, CDC art. 54-A § 1º, CF/88 art. 109 inc. I, Lei nº 14.181/2021",1
"CDC art 14 §3º II, CP, CPC/2015",CDC art. 14 § 3º inc. II,1
"CDC art 14, CDC art 2º, CDC art 3º, Código Civil art 186, Código Civil art 187, Código Civil art 927","CDC art. 14, CDC art. 2º, CDC art. 3º, CC art. 186, CC art. 187, CC art. 927",1
"CDC art 14, CF/88",CDC art. 14,1
"CDC art 14, CF/88 art 5","CDC art. 14, CF/88 art. 5º",1
"CDC art 3, CDC art 55 § 1º, CDC art 57, CDC art 6, DL nº 2181 1997 art 3, Lei nº 6.523/2008","CDC art. 3º, CDC art. 55 § 1º, CDC art. 57, CDC art. 6º, DL nº 2.181/1997 art. 3º, Lei nº 6.523/2008",1
"CDC art 31, Portaria 81 2002","CDC art. 31, Portaria 81 2002",1
"CDC art 4 V, Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos, Estatuto do Idoso Lei nº 10.741/2003","CDC art. 4º inc. V, Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos, Estatuto do Idoso Lei nº 10.741/2003",1
"CDC art 42 parágrafo único, Código Civil arts 1792 1997, Lei 1.046/1950 art 16, Lei 8.112/1990","CDC art. 42 § único, CC art. 1792 1997, Lei nº 1.046/1950 art. 16, Lei nº 8.112/1990",1
"CDC art 51 inciso IV, CF/88 direito à educação",CDC art. 51 inc. IV,1
CDC art 51 § 1º II,CDC art. 51 § 1º inc. II,1
"CDC art 51, CDC art 51 I, CDC art 51 IV","CDC art. 51, CDC art. 51 inc. I, CDC art. 51 inc. IV",1
"CDC art 55 § 1º, CF/88",CDC art. 55 § 1º,1
"CDC art 55, Decreto 2181 1997","CDC art. 55, Decreto nº 2.181/1997",1
"CDC art 56, CDC art 57, DL 2181 1997 art 24, DL 2181 1997 art 25, DL 2181 1997 art 26, DL 2181 1997 art 27","CDC art. 56, CDC art. 57, DL nº 2.181/1997 art. 24, DL nº 2.181/1997 art. 25, DL nº 2.181/1997 art. 26, DL nº 2.181/1997 art. 27",1
"CDC art 56, CDC art 57, Decreto 2181 1997 art 24, Decreto 2181 1997 art 25, Decreto 2181 1997 art 26, Decreto 2181 1997 art 27","CDC art. 56, CDC art. 57, Decreto nº 2.181/1997 art. 24, Decreto nº 2.181/1997 art. 25, Decreto nº 2.181/1997 art. 26, Decreto nº 2.181/1997 art. 27",1
"CDC art 57, CF/88",CDC art. 57,1
CDC art 6 VIII,CDC art. 6º inc. VIII,1
"CDC art 6 inciso VIII, CF/88",CDC art. 6º inc. VIII,1
"CDC art 6, Lei nº 9.514/1997 art 26","CDC art. 6º, Lei nº 9.514/1997 art. 26",1
"CDC art 6º V, CF/88",CDC art. 6º V,1
CDC art 81 inciso III,CDC art. 81 inc. III,1
CDC art 93 II,CDC art. 93 inc. II,1
